TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SCAR3;38,85;0,16;25,65;1,44;0,73;80,17;64,73;25,73;10,20;14,74;4,54;0,64;6,60;6,03;-0,90;2,73;5,61;2,84;5,87;0,51;0,49;0,11;-6,59;-11,47;327.465,80;26,95;1,51;22,58;2.240.207.977,20
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;13,39;2,45;10,36;1,20;0,55;53,56;25,05;13,20;5,46;5,18;-0,29;-0,06;1,37;2,70;-0,85;2,41;11,57;5,34;13,32;0,46;0,54;0,40;4,15;0,49;12.235.667,32;11,08;1,28;0,49;1.711.996.748,00
SEQL3;26,76;;488,81;8,35;2,50;21,58;4,38;0,70;78,62;83,30;4,35;0,46;3,44;9,02;-5,15;2,16;1,71;0,51;3,30;0,30;0,70;0,73;;;14.194.663,16;3,18;0,05;-2,46;3.449.582.545,95
SGPS3;7,52;;-1,17;0,34;0,12;32,98;3,20;-20,91;7,62;23,69;15,96;0,71;0,24;1,39;-0,21;1,25;-29,02;-10,14;-1,12;0,35;0,65;0,49;-7,50;;843.443,60;22,12;-6,42;0,00;379.500.000,00
SHOW3;3,70;;-2,33;1,33;0,48;-37,76;-199,18;-271,46;-3,17;-2,50;0,72;-0,30;6,32;3,42;-0,93;1,40;-57,14;-20,51;-28,17;0,36;0,64;0,08;-40,82;;1.150.205,96;2,82;-1,61;-0,04;256.842.116,49
SHUL3;0,00;;0,00;0,00;0,00;22,97;13,67;13,49;0,00;7,64;1,70;0,33;0,00;0,00;0,00;2,28;19,10;7,96;7,62;0,42;0,58;0,59;10,16;24,14;;8,31;1,59;0,00;853.012.301,68
SHUL4;16,86;1,84;10,63;2,03;0,85;22,97;13,67;13,49;10,49;7,64;1,70;0,33;1,43;2,30;-2,45;2,28;19,10;7,96;7,62;0,42;0,58;0,59;10,16;24,14;3.988.289,24;8,31;1,59;0,23;853.012.301,68
SIMH3;38,05;0,45;28,34;2,43;0,31;20,60;10,50;2,81;7,59;16,64;9,02;2,88;0,80;1,31;-0,56;2,08;8,56;1,08;3,83;0,13;0,87;0,38;10,36;53,42;25.318.431,40;15,65;1,34;1,28;7.847.116.995,60
SLCE3;47,08;2,09;18,36;2,85;1,04;27,63;20,16;12,62;11,49;12,46;1,04;0,26;2,32;4,81;-2,04;1,80;15,51;5,69;10,82;0,37;0,63;0,45;17,07;33,35;52.279.436,92;16,53;2,56;0,32;8.917.940.050,00
SLED3;1,11;;-0,17;-0,13;0,21;30,89;-155,25;-170,34;-0,18;-0,78;-0,65;;0,29;-1,03;-0,38;0,68;-76,97;-125,93;142,46;-1,64;2,64;0,74;-32,61;;567.719,16;-8,60;-6,62;-0,01;50.201.916,15
SLED4;0,61;;-0,09;-0,07;0,12;30,89;-155,25;-170,34;-0,10;-0,78;-0,65;;0,16;-0,57;-0,21;0,68;-76,97;-125,93;142,46;-1,64;2,64;0,74;-32,61;;1.040.908,32;-8,60;-6,62;0,00;50.201.916,15
SMFT3;0,00;;0,00;0,00;0,00;-0,83;-31,34;-47,65;0,00;-4,06;-4,05;0,65;0,00;0,00;0,00;1,21;-24,25;-7,05;-8,74;0,29;0,71;0,15;18,59;;;110,79;-26,86;0,00;0,00
SMLS3;21,63;24,54;13,67;1,98;0,80;82,71;36,70;34,20;12,74;9,27;-3,50;-0,54;4,68;2,82;-2,95;1,63;14,51;5,83;8,72;0,40;0,60;0,17;;;75.332.742,08;10,88;1,58;-0,20;2.684.316.563,86
SMTO3;31,28;1,74;12,80;3,30;0,91;34,82;35,23;20,07;7,29;10,28;3,02;1,36;2,57;6,31;-1,28;2,01;25,77;7,12;12,82;0,28;0,72;0,35;14,03;17,25;42.587.939,28;9,45;2,44;0,27;11.002.672.105,32
SNSY3;14,37;;-0,79;-0,08;0,28;14,98;-9,89;-27,33;-2,19;-3,53;-2,26;;0,22;-0,81;-0,62;0,62;-10,13;-34,99;4,07;-3,45;4,45;1,28;4,14;;15.456,38;-178,74;-18,12;0,04;64.599.576,00
SNSY5;5,22;;-0,29;-0,03;0,10;14,98;-9,89;-27,33;-0,80;-3,53;-2,26;;0,08;-0,29;-0,23;0,62;-10,13;-34,99;4,07;-3,45;4,45;1,28;4,14;;84.797,17;-178,74;-18,12;0,01;64.599.576,00
SNSY6;13,33;;-0,74;-0,07;0,26;14,98;-9,89;-27,33;-2,03;-3,53;-2,26;;0,20;-0,75;-0,58;0,62;-10,13;-34,99;4,07;-3,45;4,45;1,28;4,14;;1.033,67;-178,74;-18,12;0,03;64.599.576,00
SOMA3;14,65;;-99,58;4,45;3,02;60,87;-6,82;-5,61;-81,90;-79,73;3,35;-0,18;5,58;6,82;-8,87;3,03;-4,47;-3,03;-10,25;0,68;0,32;0,54;;;18.952.453,16;3,27;-0,15;0,64;7.042.608.894,24
SOND3;241,80;0,35;28,17;8,49;6,06;27,94;28,87;32,81;32,00;12,99;-2,38;-0,63;9,24;14,65;-15,18;3,21;30,14;21,51;24,18;0,71;0,29;0,66;-10,40;;;28,48;8,58;0,07;285.313.710,00
SOND5;48,90;1,88;5,70;1,72;1,23;27,94;28,87;32,81;6,47;12,99;-2,38;-0,63;1,87;2,96;-3,07;3,21;30,14;21,51;24,18;0,71;0,29;0,66;-10,40;;28.564,00;28,48;8,58;0,01;285.313.710,00
SOND6;45,00;2,05;5,24;1,58;1,13;27,94;28,87;32,81;5,96;12,99;-2,38;-0,63;1,72;2,73;-2,83;3,21;30,14;21,51;24,18;0,71;0,29;0,66;-10,40;;13.500,00;28,48;8,58;0,01;285.313.710,00
SPRI3;21,72;;-3,32;2,45;2,36;;;;-3,00;-2,46;0,17;-0,14;;4,61;-4,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;15.718,85;8,86;-6,54;-0,01;48.073.731,88
SPRI5;8,52;;-1,30;0,96;0,93;;;;-1,18;-2,46;0,17;-0,14;;1,81;-1,93;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;3.405,00;8,86;-6,54;0,00;48.073.731,88
SPRI6;11,00;;-1,68;1,24;1,20;;;;-1,52;-2,46;0,17;-0,14;;2,34;-2,49;66,47;-73,82;-71,18;-81,66;0,96;0,04;0,00;;;13.263,91;8,86;-6,54;0,00;48.073.731,88
SPRT3B;76,40;;-2.717,50;-2.795,73;34.713,49;;;;-2.958,01;-2.958,01;0,00;;;-2.588,38;-34.899,85;0,00;-102,88;-1.277,40;94,51;-12,42;13,42;0,00;;;;-0,03;-0,03;63,96;370.531.748,80
SQIA3;22,35;;318,15;3,62;2,47;34,08;3,31;2,36;226,68;193,12;-34,88;-0,56;7,51;5,77;-5,37;4,85;1,14;0,78;0,99;0,68;0,32;0,33;22,77;-12,74;18.256.690,04;6,17;0,07;-1,53;1.585.937.293,76
STBP3;6,74;0,26;-421,81;2,77;1,37;23,77;6,40;-1,48;97,50;87,38;-10,70;-0,30;6,24;6,16;-1,94;4,18;-0,66;-0,33;2,20;0,50;0,50;0,22;-0,73;;39.334.848,96;2,43;-0,02;2,23;5.838.978.619,06
STKF3;0,00;;0,00;0,00;0,00;50,06;27,24;12,47;0,00;3,07;3,07;0,30;0,00;0,00;0,00;1,06;4,50;2,53;5,92;0,56;0,44;0,20;14,50;;;4,76;0,21;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;30,05;11,28;10,87;0,00;-0,70;-0,70;-0,16;0,00;0,00;0,00;3,16;21,76;11,95;14,72;0,55;0,45;1,10;22,02;;;2,13;0,46;0,00;0,00
SULA11;33,84;5,33;6,11;1,77;0,51;13,59;5,09;12,22;14,67;-0,81;-15,54;-1,88;0,75;1,36;-1,62;2,26;28,97;8,42;6,95;0,29;0,71;0,69;4,99;26,05;156.038.210,88;19,03;5,51;0,06;14.410.581.376,80
SULA3;12,86;4,62;7,05;2,04;0,59;13,59;5,09;12,22;16,91;-0,81;-15,54;-1,88;0,86;1,56;-1,86;2,26;28,97;8,42;6,95;0,29;0,71;0,69;4,99;26,05;395.044,60;6,34;1,84;0,07;14.410.581.376,80
SULA4;10,42;5,78;5,64;1,63;0,47;13,59;5,09;12,22;13,53;-0,81;-15,54;-1,88;0,69;1,25;-1,49;2,26;28,97;8,42;6,95;0,29;0,71;0,69;4,99;26,05;431.186,20;6,34;1,84;0,06;14.410.581.376,80
SUZB3;69,64;;-8,83;12,90;0,93;37,73;27,72;-35,21;11,21;18,77;7,56;8,70;3,11;9,68;-1,13;2,20;-146,17;-10,54;1,89;0,07;0,93;0,30;24,40;;634.684.160,96;5,39;-7,88;-0,03;94.621.431.723,84
TAEE11;38,60;8,30;5,89;2,21;0,95;70,57;89,71;63,54;4,17;5,85;1,68;0,89;3,74;8,78;-1,14;2,80;37,55;16,04;22,30;0,43;0,57;0,25;18,22;20,00;108.374.632,68;17,49;6,57;0,05;13.328.662.711,83
TAEE3;12,80;8,36;5,85;2,20;0,94;70,57;89,71;63,54;4,14;5,85;1,68;0,89;3,71;8,71;-1,13;2,80;37,55;16,04;22,30;0,43;0,57;0,25;18,22;20,00;1.108.318,52;5,83;2,19;0,05;13.328.662.711,83
TAEE4;12,95;8,27;5,91;2,22;0,95;70,57;89,71;63,54;4,19;5,85;1,68;0,89;3,76;8,81;-1,14;2,80;37,55;16,04;22,30;0,43;0,57;0,25;18,22;20,00;3.099.810,84;5,83;2,19;0,05;13.328.662.711,83
TASA3;23,62;;8,60;53,60;1,55;42,60;24,49;14,87;5,22;6,72;1,55;15,97;1,28;6,37;-4,28;1,62;623,63;18,05;45,22;0,03;0,97;1,21;16,57;;3.462.343,56;0,44;2,74;0,02;2.241.329.505,85
TASA4;22,98;;8,37;52,22;1,51;42,60;24,49;14,87;5,08;6,72;1,55;15,97;1,24;6,21;-4,17;1,62;623,63;18,05;45,22;0,03;0,97;1,21;16,57;;83.970.386,04;0,44;2,74;0,02;2.241.329.505,85
TCNO3;2,59;;34,68;312,10;0,07;;;;-20,66;-56,65;-39,55;597,55;;-0,18;-0,09;0,29;900,00;0,21;-2,52;0,00;1,00;0,00;;;223.321,68;0,01;0,08;-0,31;14.461.579,80
TCNO4;1,80;;23,78;213,98;0,05;;;;-14,16;-56,65;-39,55;597,55;;-0,12;-0,06;0,29;900,00;0,21;-2,52;0,00;1,00;0,00;;;324.341,36;0,01;0,08;-0,21;14.461.579,80
TCSA3;7,38;;-3,30;0,69;0,31;-8,95;-78,92;-91,26;-3,81;-5,74;-1,93;0,35;3,01;1,34;-0,52;2,35;-20,83;-9,45;-11,32;0,45;0,55;0,10;-32,32;;10.455.737,56;10,75;-2,24;0,09;542.573.725,10
TECN3;1,62;;-4,57;0,41;0,22;45,95;-3,93;-11,51;-13,39;-19,72;-6,41;0,19;0,53;0,46;-0,51;5,19;-8,90;-4,70;-3,38;0,53;0,47;0,41;-9,24;;2.341.010,84;4,03;-0,36;0,06;127.965.130,45
TEKA3;44,00;;-0,19;-0,01;0,02;17,33;-1,55;-87,65;-10,84;-257,68;-251,66;;0,17;-0,01;-0,02;0,03;-6,90;-11,55;0,62;-1,67;2,67;0,13;-1,38;;22.401,64;-3.335,26;-230,11;0,02;12.289.468,80
TEKA4;14,39;;-0,06;0,00;0,01;17,33;-1,55;-87,65;-3,55;-257,68;-251,66;;0,05;0,00;-0,01;0,03;-6,90;-11,55;0,62;-1,67;2,67;0,13;-1,38;;131.272,72;-3.335,26;-230,11;0,01;12.289.468,80
TELB3;72,80;;-46,51;3,18;1,16;-71,84;-26,88;-39,81;-68,87;-46,92;9,70;-0,45;18,52;4,86;-1,69;4,37;-6,84;-2,50;-3,93;0,37;0,63;0,06;42,70;;49.250,90;22,89;-1,57;0,84;4.061.596.978,35
TELB4;25,05;;-16,00;1,09;0,40;-71,84;-26,88;-39,81;-23,70;-46,92;9,70;-0,45;6,37;1,67;-0,58;4,37;-6,84;-2,50;-3,93;0,37;0,63;0,06;42,70;;201.670,80;22,89;-1,57;0,29;4.061.596.978,35
TEND3;26,38;1,88;13,70;1,81;0,65;31,12;11,60;8,78;10,37;9,86;-0,56;-0,10;1,20;1,78;-1,86;2,27;13,20;4,73;8,33;0,36;0,64;0,54;21,81;46,40;28.573.715,56;14,55;1,92;-0,57;2.756.774.979,32
TESA3;42,26;;-16,20;1,17;0,32;23,29;20,14;-4,61;3,71;7,84;4,09;1,29;0,75;-10,12;-0,49;0,92;-7,24;-1,95;12,82;0,27;0,73;0,42;7,32;;948.070,80;36,02;-2,61;0,28;932.707.591,83
TFCO4;11,69;;428,85;54,94;31,04;58,29;15,14;9,66;273,76;270,24;-0,94;-0,19;41,44;61,15;-146,26;2,81;12,81;7,24;12,25;0,57;0,43;0,75;;;2.300.742,28;0,21;0,03;42,10;10.973.263.402,84
TGMA3;20,61;1,64;18,57;2,18;1,33;19,78;10,49;7,28;12,87;12,55;-0,06;-0,01;1,35;4,38;-2,68;2,52;11,77;7,17;9,39;0,61;0,39;0,99;-2,05;49,24;13.332.942,76;9,48;1,12;-0,30;1.339.199.145,35
TIET11;12,54;8,56;5,90;2,72;0,50;94,37;86,92;42,17;2,86;4,71;1,85;1,75;2,49;-31,02;-0,66;0,94;46,03;8,45;19,40;0,18;0,82;0,20;-5,19;1,09;31.123.800,68;4,62;2,12;0,03;5.004.795.800,93
TIET3;3,49;6,15;8,21;3,78;0,69;94,37;86,92;42,17;3,98;4,71;1,85;1,75;3,46;-43,16;-0,92;0,94;46,03;8,45;19,40;0,18;0,82;0,20;-5,19;1,09;558.793,42;0,92;0,43;0,04;5.004.795.800,93
TIET4;3,51;6,11;8,26;3,80;0,70;94,37;86,92;42,17;4,01;4,71;1,85;1,75;3,48;-43,41;-0,92;0,94;46,03;8,45;19,40;0,18;0,82;0,20;-5,19;1,09;1.764.454,32;0,92;0,43;0,05;5.004.795.800,93
TIMS3;12,30;3,64;16,14;1,28;0,71;53,69;16,30;10,68;10,57;12,50;1,94;0,24;1,72;14,10;-0,95;1,25;7,95;4,43;7,97;0,56;0,44;0,41;0,15;-2,43;63.128.797,52;9,58;0,76;-0,33;29.727.478.007,44
TKNO3;0,00;;0,00;0,00;0,00;26,63;13,52;7,02;0,00;1,04;-1,61;-0,21;0,00;0,00;0,00;3,59;6,72;5,32;8,94;0,79;0,21;0,76;8,49;;;64,60;4,34;0,00;65.314.032,00
TKNO4;48,00;3,99;11,05;0,74;0,59;26,63;13,52;7,02;5,74;1,04;-1,61;-0,21;0,78;1,43;-1,36;3,59;6,72;5,32;8,94;0,79;0,21;0,76;8,49;;12.528,50;64,60;4,34;0,30;65.314.032,00
TOTS3;29,77;0,72;58,09;6,58;3,33;70,08;15,16;11,36;43,54;41,61;-2,24;-0,34;6,60;21,64;-7,40;1,39;11,33;5,73;10,50;0,51;0,49;0,50;6,34;8,63;155.677.093,08;4,51;0,51;1,43;17.256.487.584,66
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;2,28;;2,11;0,44;0,12;9,07;23,87;19,54;1,73;9,25;7,48;1,90;0,41;-0,59;-0,13;0,22;20,75;5,63;6,75;0,27;0,73;0,29;-16,95;6,45;4.160.777,44;5,19;1,08;-0,01;410.080.000,00
TRIS3;10,07;2,14;10,98;1,54;0,86;35,26;22,65;19,35;9,38;9,77;0,31;0,05;2,13;1,53;-3,77;3,68;14,02;7,81;10,33;0,56;0,44;0,40;18,29;49,27;15.582.025,76;6,50;0,91;0,51;1.882.970.958,42
TRPL3;29,70;11,25;5,82;1,39;0,80;69,27;119,77;90,94;4,42;4,48;0,46;0,14;5,29;4,73;-1,03;4,01;23,80;13,67;19,25;0,57;0,43;0,15;23,49;45,59;198.035,17;21,44;5,10;0,06;17.824.720.890,60
TRPL4;25,22;13,21;4,96;1,18;0,68;69,27;119,77;90,94;3,77;4,48;0,46;0,14;4,51;4,03;-0,87;4,01;23,80;13,67;19,25;0,57;0,43;0,15;23,49;45,59;47.904.507,72;21,44;5,10;0,05;17.824.720.890,60
TUPY3;21,36;;-40,24;1,20;0,50;16,09;5,09;-1,79;14,14;17,58;3,69;0,31;0,72;1,69;-1,10;2,20;-2,98;-1,25;3,53;0,42;0,58;0,70;4,44;;26.395.406,52;17,71;-0,53;0,32;3.010.426.200,00
TXRX3;41,59;;-9,89;-0,57;0,92;27,54;4,51;-21,43;47,04;84,98;61,81;;2,12;-0,65;-1,47;0,21;-5,78;-9,35;-4,84;-1,62;2,62;0,44;1,83;;33.128,93;-72,72;-4,20;0,05;87.233.586,55
TXRX4;9,60;;-2,26;-0,13;0,21;27,54;4,51;-21,43;10,76;84,98;61,81;;0,48;-0,15;-0,34;0,21;-5,78;-9,35;-4,84;-1,62;2,62;0,44;1,83;;57.600,08;-72,72;-4,20;0,01;87.233.586,55
UCAS3;4,40;6,60;19,60;1,86;1,42;39,01;11,68;9,86;16,55;13,65;-2,71;-0,31;1,93;4,34;-2,97;2,67;9,51;7,23;7,71;0,76;0,24;0,73;-7,54;2,51;335.368,92;2,36;0,22;-1,12;287.475.683,40
UGPA3;20,96;2,10;26,19;2,36;0,65;6,91;2,18;1,10;13,23;19,76;6,51;1,16;0,29;2,84;-1,25;1,89;9,01;2,46;4,11;0,27;0,73;2,24;1,43;-9,32;128.720.094,00;8,89;0,80;0,19;23.427.760.437,51
UNIP3;64,47;1,71;16,67;3,52;1,36;34,50;19,35;9,50;8,19;7,83;-0,53;-0,23;1,58;9,28;-2,33;1,54;21,14;8,16;21,10;0,39;0,61;0,86;35,12;33,34;1.107.137,20;18,42;3,89;0,15;6.260.068.276,40
UNIP5;68,00;2,21;17,47;3,69;1,42;34,50;19,35;9,50;8,58;7,83;-0,53;-0,23;1,66;9,72;-2,44;1,54;21,14;8,16;21,10;0,39;0,61;0,86;35,12;33,34;133.764,75;18,42;3,89;0,16;6.260.068.276,40
UNIP6;68,07;1,79;17,48;3,70;1,43;34,50;19,35;9,50;8,59;7,83;-0,53;-0,23;1,66;9,73;-2,45;1,54;21,14;8,16;21,10;0,39;0,61;0,86;35,12;33,34;22.637.745,56;18,42;3,89;0,16;6.260.068.276,40
USIM3;18,17;0,21;34,38;1,37;0,77;20,24;18,20;4,18;7,90;8,05;0,38;0,07;1,44;3,15;-1,28;2,64;4,00;2,25;10,41;0,56;0,44;0,54;9,57;;16.865.369,20;13,44;0,54;0,16;22.488.369.669,40
USIM5;17,44;0,25;32,99;1,32;0,74;20,24;18,20;4,18;7,58;8,05;0,38;0,07;1,38;3,02;-1,22;2,64;4,00;2,25;10,41;0,56;0,44;0,54;9,57;;351.777.489,56;13,44;0,54;0,15;22.488.369.669,40
USIM6;18,70;0,23;34,83;1,39;0,78;20,24;18,20;4,18;8,00;8,05;0,38;0,07;1,46;3,19;-1,29;2,64;4,00;2,25;10,41;0,56;0,44;0,54;9,57;;20.386,55;13,44;0,54;0,16;22.488.369.669,40
VALE3;103,34;6,41;20,59;3,04;1,15;52,73;24,97;12,81;10,56;10,64;0,15;0,04;2,64;10,79;-1,57;1,67;14,76;5,59;18,93;0,38;0,62;0,44;21,72;;2.728.206.411,44;34,25;5,05;-0,04;546.097.623.971,88
VAMO3;34,93;;44,56;15,77;1,89;34,21;24,42;11,84;21,60;27,31;5,64;4,12;5,28;27,36;-2,72;1,29;35,40;4,24;8,64;0,12;0,88;0,36;;;18.595.091,24;2,22;0,79;1,69;8.006.683.788,60
VIVA3;25,06;0,42;40,11;5,02;2,75;68,49;19,58;14,00;28,69;28,11;-0,72;-0,13;5,62;7,06;-8,19;2,41;12,52;6,85;12,05;0,55;0,45;0,49;;;33.469.132,92;4,96;0,62;-0,61;5.912.030.158,07
VIVR3;1,18;;-0,63;-0,50;0,35;-31,88;-332,19;-410,76;-0,78;-2,02;-1,24;;2,58;-0,47;-0,55;0,32;-79,54;-55,89;867,79;-0,70;1,70;0,14;-17,04;;650.100,40;-2,34;-1,86;0,03;114.493.941,52
VIVT3;44,03;7,75;15,69;1,08;0,69;47,38;15,26;11,06;11,37;12,59;1,14;0,11;1,74;63,10;-0,83;1,07;6,86;4,39;6,45;0,64;0,36;0,40;1,37;6,88;130.829.898,56;41,13;2,82;-3,40;75.417.927.565,80
VIVT4;45,34;5,05;16,07;1,10;0,71;47,38;15,26;11,06;11,65;12,59;1,14;0,11;1,78;64,66;-0,85;1,07;6,86;4,39;6,45;0,64;0,36;0,40;1,37;6,88;111.231.163,93;41,13;2,82;-3,49;75.417.927.565,80
VLID3;9,86;;-3,99;0,73;0,28;17,68;-5,64;-10,44;-7,38;-14,40;-6,99;0,69;0,42;3,77;-0,52;1,20;-18,20;-7,06;-4,81;0,39;0,61;0,68;3,44;;6.986.575,80;13,56;-2,47;0,01;810.855.423,56
VSPT3;0,00;;0,00;0,00;0,00;11,19;2,86;-4,23;0,00;-4,70;-4,70;-0,07;0,00;0,00;0,00;0,69;-2,21;-1,28;0,59;0,58;0,42;0,30;10,22;;;37,72;-0,83;0,00;0,00
VSPT4;0,00;;0,00;0,00;0,00;11,19;2,86;-4,23;0,00;-4,70;-4,70;-0,07;0,00;0,00;0,00;0,69;-2,21;-1,28;0,59;0,58;0,42;0,30;10,22;;;37,72;-0,83;0,00;0,00
VULC3;7,39;;57,72;1,62;1,09;29,53;3,08;2,68;50,24;52,16;1,99;0,06;1,55;2,26;-3,21;3,64;2,81;1,88;2,20;0,67;0,33;0,70;4,07;;4.487.879,76;4,58;0,13;-0,74;1.821.054.523,86
VVAR3;12,37;;19,76;3,32;0,60;32,75;5,60;3,47;12,25;16,24;3,78;1,02;0,69;26,42;-1,44;1,04;16,79;3,04;10,20;0,18;0,82;0,87;8,45;135,03;595.955.004,96;3,74;0,63;-0,12;20.174.582.295,63
WEGE3;76,53;0,81;68,97;13,53;8,10;31,13;16,12;13,40;57,33;55,88;-0,99;-0,23;9,24;24,19;-21,90;2,13;19,62;11,75;18,11;0,60;0,40;0,88;12,35;15,50;463.400.127,20;5,68;1,12;1,53;160.169.654.803,68
WEST3;8,83;;83,18;223,84;9,94;45,12;0,03;4,77;15.697,56;15.390,46;-307,10;-4,38;3,97;-51,12;-27,76;0,77;269,11;11,95;-101,70;0,04;0,96;2,51;;;11.326.623,92;0,04;0,11;0,00;973.248.760,89
WHRL3;7,01;17,33;14,77;5,45;1,48;20,20;10,57;7,69;10,75;9,53;-1,65;-0,83;1,14;14,31;-6,26;1,16;36,94;10,03;31,87;0,27;0,73;1,30;-0,28;19,66;67.227,68;1,28;0,47;-0,25;10.932.761.397,82
WHRL4;7,77;17,17;16,39;6,05;1,64;20,20;10,57;7,69;11,93;9,53;-1,65;-0,83;1,26;15,88;-6,95;1,16;36,94;10,03;31,87;0,27;0,73;1,30;-0,28;19,66;177.110,12;1,28;0,47;-0,27;10.932.761.397,82
WIZS3;7,79;;6,43;4,21;1,31;76,38;40,46;24,25;3,85;3,00;-0,79;-0,86;1,56;-26,65;-2,08;0,88;65,42;20,34;72,59;0,31;0,69;0,84;17,16;14,87;17.807.887,48;1,86;1,22;-0,72;1.232.885.144,22
WLMM3;19,34;2,04;12,95;1,52;1,24;15,57;7,83;5,49;9,08;9,69;-1,65;-0,28;0,71;3,74;-2,16;4,44;11,77;9,55;11,61;0,81;0,19;1,74;14,81;69,04;7.173,08;12,69;1,49;1,40;880.072.684,80
WLMM4;28,20;1,54;18,88;2,22;1,80;15,57;7,83;5,49;13,24;9,69;-1,65;-0,28;1,04;5,45;-3,15;4,44;11,77;9,55;11,61;0,81;0,19;1,74;14,81;69,04;34.254,69;12,69;1,49;2,04;880.072.684,80
WSON33;45,73;6,37;29,68;1,49;0,62;51,66;21,81;6,19;8,42;13,68;5,28;0,93;1,84;11,65;-0,75;1,45;5,02;2,08;5,43;0,41;0,59;0,34;1,54;1,60;2.419.377,24;31,10;1,56;-10,20;3.328.329.208,00
YDUQ3;28,56;1,77;90,73;2,78;0,96;54,72;9,25;2,55;25,00;33,80;9,04;1,01;2,31;6,17;-1,36;2,12;3,06;1,06;3,27;0,35;0,65;0,42;5,62;-25,93;89.133.672,28;10,37;0,32;-1,07;8.824.486.696,05
