TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
HGFF11;72,59;9,23;0,81;411.565,60;5,21;;;257.593.227,47;9.297,00;Ativa;
RBFF11;55,79;10,41;0,82;416.855,50;0,97;3,70;;253.561.884,77;22.417,00;Ativa;
JTPR11;2.517,00;0,00;22,25;;18,53;;;24.281.346,17;9,00;Ativa;
TELD11;0,00;0,00;;;102,94;;;9.891.868,85;2,00;Ativa;
NPAR11;15,02;281,01;0,83;13.898,15;10,87;;-50,09;2.163.877,46;548,00;Ativa;
MFAI11;71,29;15,14;0,85;44.346,75;0,33;;;25.345.706,75;3.814,00;Ativa;
MVFI11;0,00;0,00;;;0,10;;;136.950.418,64;1,00;Ativa;
RZTR11;95,54;10,13;0,97;3.668.314,15;16,61;;;1.087.621.455,10;35.787,00;Ativa;
HCTR11;124,47;19,11;1,05;9.377.583,30;11,27;;;2.342.624.065,31;135.172,00;Ativa;
HGRE11;127,19;7,18;0,75;1.683.836,20;0,54;0,93;-1,78;1.997.004.653,53;113.042,00;Ativa;
MALL11;91,06;7,11;0,87;1.119.985,25;3,86;-3,59;-3,07;791.574.764,07;88.716,00;Ativa;
PQAG11;64,80;6,70;1,14;9.868,89;2,48;;;795.654.025,77;435,00;Ativa;
XPLG11;96,00;7,55;0,88;4.241.838,15;6,01;-1,92;0,14;2.969.283.438,86;274.076,00;Ativa;
JBFO11;88,83;2,85;0,99;77.500,00;0,23;;;114.690.247,01;359,00;Ativa;
CJCT11;68,00;0,00;1,01;80.400,50;0,43;;13,92;181.831.004,55;1.480,00;Passiva;
HBRH11;86,35;9,06;0,79;585.344,50;2,55;;;245.406.657,81;1.582,00;Ativa;
MXRF11;9,99;9,11;1,00;5.275.959,95;10,92;1,90;0,44;2.259.193.467,62;456.085,00;Ativa;
CXRI11;70,78;10,17;0,79;25.793,80;0,81;-9,95;-58,37;140.507.437,21;2.951,00;Ativa;
HAAA11;92,97;6,87;0,97;13.148,71;0,41;;;329.467.244,04;130,00;Ativa;
TCIN11;110,99;0,00;0,78;108,00;1,44;;;117.537.164,83;125,00;Ativa;
CEOC11;59,00;9,09;0,68;39.542,15;2,11;-6,92;-9,08;156.599.916,44;6.314,00;Passiva;
FCFL11;101,50;7,49;1,00;213.556,50;0,45;2,21;0,67;352.488.694,23;4.403,00;Passiva;
VLJS11;1.141,14;4,80;1,49;;3,20;;;45.025.251,31;12,00;Passiva;
JFLL11;72,88;7,74;0,75;103.132,15;1,95;;;145.160.606,78;1.822,00;Ativa;
DLMT11;0,00;0,00;;;35,93;;;13.757.099,69;9,00;Ativa;
HFOF11;81,28;8,81;0,92;2.030.010,85;1,88;-10,92;-2,80;2.027.157.670,49;66.171,00;Ativa;
FPAB11;198,60;7,93;0,44;30.588,70;1,11;-10,94;-14,07;336.019.966,32;962,00;Passiva;
BBIM11;0,00;0,00;;;3,03;-6,33;;51.888.907,55;20,00;Ativa;
RDPD11;66,50;8,57;0,94;34.685,50;6,08;2,63;;76.147.024,14;826,00;Ativa;
BBFI11B;2.241,00;14,05;0,89;477.164,50;8,59;1,70;6,60;329.132.320,59;8.223,00;Passiva;
BZLI11;17,00;0,00;1,54;131.351,10;0,06;;7,67;431.455.425,43;323,00;Ativa;
BRIM11;1.012,58;0,00;1,04;130.622,00;2,17;;;121.056.329,33;196,00;Ativa;
BRCR11;66,87;8,46;0,62;2.438.544,40;0,89;-28,26;-13,10;2.857.507.812,90;130.124,00;Ativa;
HCST11;93,00;0,00;0,88;372,00;9,52;;;30.203.615,72;84,00;Ativa;
BLMG11;95,10;7,23;0,93;713.460,50;2,28;;;388.041.454,59;4.201,00;Ativa;
REIT11;820,00;10,19;1,55;1.635,00;122,53;;;13.953.711,63;61,00;Ativa;
VIUR11;80,12;4,16;0,84;260.456,00;15,53;;;258.342.180,74;3.613,00;Ativa;
RBCO11;51,98;10,23;0,52;222.403,90;3,89;;;379.891.174,90;4.745,00;Ativa;
BLMR11;7,47;6,56;0,85;582.818,10;6,05;;;225.460.215,74;4.544,00;Ativa;
RECR11;100,09;14,48;1,05;9.568.109,50;1,38;15,13;-1,01;1.844.612.969,83;118.380,00;Ativa;
PATL11;65,56;10,28;0,69;857.615,85;1,07;;;477.033.893,01;12.402,00;Ativa;
XPPR11;63,79;9,80;0,76;1.099.464,50;3,56;;;614.465.035,45;47.968,00;Ativa;
GCFF11;75,60;13,10;0,84;75.808,45;6,41;;;30.529.859,81;1.671,00;Ativa;
BLMC11;97,21;5,67;0,97;1.093,31;3,94;;;39.999.083,35;64,00;Ativa;
TORD11;10,65;13,14;0,81;1.687.668,90;1,18;;;461.396.367,48;83.404,00;Ativa;
HRDF11;1,40;0,00;1,13;1.594,00;72,02;;;9.398.483,52;1.444,00;Ativa;
RBRR11;98,00;8,68;0,98;2.748.576,45;10,24;3,95;-1,18;1.033.899.951,56;78.714,00;Ativa;
PABY11;12,18;0,00;;555,55;;;-15,38;-7.370.513,66;441,00;Passiva;
BTSI11;0,00;0,00;;;0,20;;;36.662.546,63;52,00;Ativa;
VINO11;59,04;9,65;1,00;1.993.785,20;4,91;;;745.451.696,93;91.507,00;Ativa;
ESTQ11;0,00;0,00;;;23,98;;;17.703.961,90;5,00;Ativa;
VJFD11;0,00;0,00;;;1,04;;;512.233.057,57;97,00;Ativa;
LUGG11;88,10;6,80;0,71;20.481,50;0,63;;;112.254.414,79;4.296,00;Ativa;
TEPP11;72,36;7,64;0,77;365.041,25;0,28;;;397.945.745,92;7.998,00;Ativa;
BBFO11;72,20;7,35;0,82;133.812,15;1,50;;;351.715.198,65;3.888,00;Passiva;
RBVO11;15,96;3,16;0,74;12.430,60;4,80;-46,39;-35,36;11.110.248,40;2.120,00;--;
CCRF11;107,99;1,81;1,07;2.737,33;25,16;;;157.940.681,91;23,00;Ativa;
CARE11;0,50;1,96;0,31;127.362,40;0,73;;-34,14;285.663.790,78;12.421,00;Ativa;
ARFI11B;479,99;0,00;1,26;;2,10;;;43.314.145,40;28,00;Ativa;
ERPA11;130,00;0,00;1,22;130,00;0,01;;;53.024.941,66;12,00;Passiva;
ONEF11;144,95;5,55;0,90;122.053,70;1,06;-1,41;5,12;146.356.151,50;4.078,00;Passiva;
RBTS11;1.000,00;3,63;0,96;;6,32;;;59.094.532,99;56,00;Ativa;
FIIP11B;177,31;7,95;0,89;75.684,30;2,78;-4,04;-1,93;185.644.589,21;8.862,00;Passiva;
DEVA11;103,53;16,98;1,05;7.535.017,80;3,14;;;1.075.044.399,82;52.339,00;Ativa;
RSPD11;1.200,00;0,92;1,05;19.313,00;16,82;;;170.214.851,65;108,00;Ativa;
HOSI11;75,60;8,25;0,82;19.062,90;12,40;;;52.888.543,34;2.206,00;Ativa;
PEMA11;72,10;12,22;0,80;4.215,60;0,70;;;50.035.967,80;91,00;Ativa;
FIVN11;2,27;0,00;0,33;7.926,00;0,05;;-10,35;64.604.991,54;3.124,00;Passiva;
ARCT11;101,98;19,58;0,99;341.239,30;7,11;;;164.724.630,31;6.548,00;Ativa;
BPFF11;64,06;10,47;0,81;532.300,25;4,93;-4,89;-10,71;354.102.384,87;20.600,00;Ativa;
TRXF11;99,00;8,58;0,96;2.860.992,00;5,81;;;578.875.374,53;37.298,00;Ativa;
MGFF11;64,70;10,51;0,82;1.350.534,30;4,52;-8,99;-9,23;710.399.687,20;50.637,00;Ativa;
KNRI11;135,45;6,20;0,86;3.499.860,80;4,18;-1,84;-2,96;3.800.803.257,11;232.967,00;Ativa;
BTRA11;92,00;1,48;0,92;666.212,40;59,17;;;336.049.679,75;7.950,00;Ativa;
CVPR11;0,00;0,00;;;100,43;;;9.932.297,94;1,00;Ativa;
SALI11;0,00;0,00;;;3,67;;;7.939.560,36;2,00;Passiva;
SOLR11;1.220,00;5,17;1,21;1.220,00;1,93;;;63.383.855,68;73,00;Ativa;
EQIR11;0,00;0,00;;;8,27;;;47.150.052,23;21,00;Ativa;
LGCP11;78,96;7,92;0,80;109.124,05;0,68;;;270.369.101,85;10.161,00;Ativa;
BTWR11;106,40;1,26;0,98;1.440.549,00;2,57;;;87.637.697,03;59,00;Passiva;
CJFI11;0,00;0,00;;;0,42;;;97.711.646,37;1,00;Ativa;
APTO11;0,00;0,00;;;23,85;;;9.785.814,01;12,00;Ativa;
CVBI11;101,78;13,62;1,02;3.157.663,05;1,42;;;990.958.436,13;45.442,00;Ativa;
MFII11;111,21;11,41;0,99;579.529,55;23,67;-1,85;8,65;464.488.139,53;30.057,00;Ativa;
GGRC11;112,00;8,81;0,84;1.390.194,55;3,01;3,18;-3,11;1.039.367.829,17;96.325,00;Ativa;
MGCR11;85,00;10,35;0,90;56.346,95;2,58;;;134.984.834,54;2.064,00;Ativa;
VLOL11;99,80;5,26;1,03;391.680,65;1,20;0,97;3,90;173.324.142,13;4.370,00;Passiva;
BARI11;102,27;15,18;1,00;1.634.168,60;8,84;;;473.323.915,47;29.815,00;Ativa;
SNFF11;90,20;2,75;0,98;841.303,20;11,09;;;230.635.763,32;29.763,00;Ativa;
TSNC11;0,00;0,00;;;2,54;1,11;;100.034.423,54;66,00;Ativa;
MORC11;0,00;0,00;;;17,92;;;57.650.457,61;82,00;Ativa;
DMAC11;13,00;296,00;1,49;26.524,35;101,88;;;1.365.989,10;2.133,00;Passiva;
MBRF11;730,00;11,73;0,64;56.095,00;3,88;-4,87;-10,90;116.234.506,35;2.804,00;Ativa;
GAME11;0,00;0,00;;;0,11;;;136.627.736,88;1,00;Ativa;
XPHT11;91,21;0,00;1,05;849.309,93;0,41;;;330.696.101,70;1.520,00;Ativa;
XPHT12;47,00;0,00;0,54;13.471,18;0,41;;;330.696.101,70;1.520,00;Ativa;
BRLA11;147,00;6,72;0,91;378,33;0,17;;;240.125.804,34;126,00;Passiva;
GZIT11;0,00;0,00;;;0,66;;;2.036.463.419,75;1,00;Ativa;
VTLT11;96,93;9,26;0,95;204.722,00;2,13;-2,31;-1,12;216.316.308,01;5.894,00;Ativa;
RCFA11;0,61;0,00;0,39;64.712,25;0,03;;;18.243.753,19;3.617,00;Passiva;
EURO11;204,94;8,87;0,72;59.561,00;1,85;9,90;6,53;108.970.208,94;2.506,00;Passiva;
FTCE11B;2.950,01;15,35;1,08;;6,98;;;2.490.881.861,55;57,00;Ativa;
HCRI11;369,00;9,96;1,23;44.214,05;0,62;7,41;4,00;59.832.624,38;3.124,00;Passiva;
FLRP11;1.250,00;4,95;0,75;12.178,53;1,64;-9,54;0,00;108.449.902,89;925,00;Passiva;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;14,12;131.819.480,59;3.846,00;Ativa;
BICE11;0,00;0,00;;;13,73;;;10.424.910,02;90,00;Ativa;
ERCR11;79.000,00;9,58;1,04;79.000,00;0,17;;;180.352.941,80;9,00;Passiva;
RBRL11;91,40;8,81;0,86;941.912,10;12,87;;;713.309.685,10;6.919,00;Ativa;
PLRI11;39,35;7,48;0,80;14.365,70;2,48;-12,15;-20,90;46.696.898,49;784,00;Ativa;
PORD11;92,31;11,76;0,93;553.109,55;5,38;;-2,63;369.094.725,80;13.724,00;Ativa;
GTLG11;0,00;0,00;;;100,14;;;720.166.015,64;50,00;Ativa;
TBOF11;15,56;0,00;155,60;;61,60;72,22;-40,80;1.029.898,48;9.157,00;Passiva;
EDGA11;24,30;7,67;0,31;50.748,40;0,52;-13,98;-17,86;300.274.052,43;7.182,00;Passiva;
DOVL11B;21,39;41,80;0,02;;3,51;;;71.170.697,69;51,00;Ativa;
RCRI11B;1.200,00;3,83;1,84;1.200,00;22,08;;;33.278.188,33;149,00;Ativa;
FCAS11;0,00;0,00;;;186,17;;;80.684.223,04;2,00;Passiva;
RBGS11;30,81;6,31;0,34;27.417,75;0,44;8,62;-9,85;97.796.535,91;2.850,00;Passiva;
RBBV11;100,00;34,75;0,99;239.178,74;1,01;75,40;13,99;126.470.249,69;3.475,00;Passiva;
VERE11;233,49;10,84;0,74;;7,86;10,22;;173.558.279,05;53,00;Ativa;
HBTT11;1.055,00;0,00;;;;;;0,00;0,00;Ativa;
HMOC11;226,95;65,51;0,95;69.159,67;0,67;122,18;7,05;91.223.530,50;209,00;Passiva;
FVBI11;94,97;0,39;;;;142,93;-4,27;0,00;0,00;Passiva;
GRLV11;104,51;101,70;17,51;753.753,27;2.489,44;135,25;2,41;6.407.890,29;2.604,00;Passiva;
FAED11;141,50;10,13;0,66;61.204,95;1,55;-7,76;-11,70;137.397.299,85;5.158,00;Passiva;
SIGR11;0,00;0,00;;;2,17;;;13.507.722,44;20,00;Ativa;
RFOF11;77,47;9,95;0,90;148.415,00;1,02;;;93.078.665,94;6.409,00;Ativa;
BRIP11;1.015,35;0,00;1,03;1.015,00;11,13;;;116.823.182,78;233,00;Ativa;
NVIF11B;227,50;0,26;1,34;;18,46;;;57.316.614,07;7,00;Ativa;
IRIM11;113,00;1,04;1,12;68.252,70;2,32;;;130.626.995,93;1,00;Ativa;
PVBI11;87,29;7,22;0,88;2.505.403,10;4,49;;;1.001.046.289,37;49.224,00;Ativa;
LFTT11;106,97;7,34;1,77;396.368,75;23,41;;;423.916.403,52;386,00;Ativa;
KNCR11;97,70;4,81;0,98;10.004.546,15;7,06;-11,19;-2,57;3.889.332.968,75;72.583,00;Ativa;
CORM11;103,90;6,54;1,09;15.913,75;4,64;;;87.424.491,11;192,00;Ativa;
AFHI11;93,40;5,30;0,96;758.991,40;4,68;;;174.528.044,01;4.363,00;Ativa;
MCHF11;10,00;3,00;1,00;400.308,10;1,17;;;83.041.402,69;2.361,00;Ativa;
EXES11;0,00;0,00;;;1,12;;;8.324.459,46;23,00;Ativa;
RBRS11;66,00;6,82;0,73;23.089,05;22,39;;;125.756.509,71;1.177,00;Ativa;
AFOF11;81,64;6,92;0,81;150.032,15;8,65;;;69.520.499,69;2.329,00;Ativa;
PNDL11;0,00;0,00;;;62,69;;;13.616.280,04;46,00;Ativa;
HGBS11;178,50;4,29;0,83;2.339.313,25;0,46;-24,27;-5,90;2.143.980.697,65;80.882,00;Ativa;
HGPO11;224,79;6,12;0,93;442.803,20;5,37;;;423.171.317,74;10.119,00;Passiva;
RVBI11;83,00;10,20;0,94;328.190,50;2,79;;;127.536.457,54;11.230,00;Ativa;
FIGS11;55,12;5,48;0,58;155.630,40;4,57;-28,63;-6,89;268.744.128,94;16.988,00;Passiva;
BPRP11;103,86;9,01;0,96;863,36;0,07;;;145.783.117,61;204,00;Passiva;
PBLV11;926,98;8,93;0,69;;4,11;;;4.007.831.451,85;2,00;Ativa;
RBDS11;9,91;23,76;0,38;3.286,20;24,65;18,99;-67,40;3.303.496,28;1.008,00;Ativa;
FIIB11;447,20;8,44;1,01;330.088,40;1,52;5,99;3,66;303.113.916,47;16.876,00;Passiva;
BTLG11;104,05;7,60;1,04;4.302.317,75;19,83;19,25;14,19;1.526.675.257,93;142.314,00;Ativa;
FISC11;165,00;1,04;1,06;;0,20;;;255.241.751,69;69,00;Ativa;
LSPA11;0,00;0,00;;;0,81;;;40.202.773,43;220,00;Ativa;
PLOG11;80,00;6,16;0,84;59.489,55;3,95;;;71.566.334,57;1.922,00;Ativa;
CTXT11;20,40;4,41;0,43;4.944,25;0,56;-23,80;71,14;123.239.909,63;3.913,00;Passiva;
ANCR11B;3.366,00;2,68;1,00;3.366,00;1,48;;;1.519.590.924,11;61,00;Ativa;
ELDO11B;762,38;7,53;0,62;;0,18;3,05;;973.153.528,93;60,00;Passiva;
VGIR11;98,90;6,37;1,02;930.320,30;4,54;-11,87;-0,37;437.044.080,45;25.922,00;Ativa;
RCRB11;141,50;7,00;0,73;687.530,55;1,63;12,73;-2,75;716.832.509,12;30.003,00;Ativa;
SAIC11B;36,05;0,00;0,66;36,00;5,46;;-18,79;77.516.215,90;51,00;Passiva;
BTCR11;91,95;8,43;0,94;567.280,05;4,86;0,23;;469.638.941,06;10.150,00;Ativa;
KNSC11;97,64;12,49;1,07;3.469.864,00;9,59;;;726.229.506,65;34.273,00;Ativa;
BRCO11;94,22;7,04;0,87;3.005.860,10;1,83;;;1.603.955.235,27;47.863,00;Ativa;
IDFI11;100,00;2,05;0,99;61.000,00;4,79;;;103.441.331,65;6,00;Ativa;
YUFI11;0,00;0,00;;;1,36;;;37.570.225,41;10,00;Ativa;
ORPD11;132,00;0,00;0,87;594,00;0,00;;1,83;44.025.741,68;29,00;Ativa;
BZEL11;0,00;0,00;;;0,09;;;351.196.274,76;3,00;Ativa;
KEVE11;880,01;0,00;0,89;140.689,75;2,72;;;146.358.013,71;380,00;Passiva;
SARE11;75,17;8,76;0,75;629.660,90;9,28;;;922.406.101,09;11.701,00;Ativa;
VCJR11;94,78;11,45;0,98;878.236,35;6,60;;;1.119.498.390,45;7.150,00;Ativa;
MCCI11;100,00;9,50;1,00;4.843.529,15;20,56;;;1.244.687.418,79;61.998,00;Ativa;
RBRM11;94.794,81;101,64;0,69;;7,01;;;74.546.718,44;54,00;Ativa;
JPPC11;275,00;26,84;0,50;8.398,80;4,81;;-21,32;30.283.397,77;79,00;Ativa;
HUSI11;1.045,00;0,00;1,10;5.225,00;1,46;;;95.674.117,02;79,00;Ativa;
PURB11;0,00;0,00;;;21,44;;;25.393.971,69;1,00;Ativa;
XPML11;97,57;5,39;0,93;3.735.865,45;5,19;-8,74;-0,21;1.900.090.443,88;255.132,00;Ativa;
JRDM11;64,22;3,20;0,73;155.505,60;3,03;-27,20;-3,85;222.023.146,38;5.102,00;Passiva;
RBIR11;73,88;0,00;0,77;37.264,63;40,58;;;146.754.595,58;1.315,00;Ativa;
VTPA11;0,00;0,00;;;1,77;;;72.953.873,78;1,00;Ativa;
FISD11;0,00;0,00;;;0,00;;;116.401.105,70;25,00;Ativa;
ATCR11;0,00;0,00;;;0,74;;;72.803.347,60;33,00;Ativa;
SCPF11;8,63;2,78;0,68;3.523,50;2,27;-27,86;-9,36;53.297.642,47;4.582,00;Ativa;
XPCM11;20,60;26,50;0,29;181.056,30;3,46;-18,62;-39,37;169.356.058,13;31.899,00;Passiva;
ATWN11;0,00;0,00;;;0,60;;;93.186.393,65;2,00;Passiva;
BVAR11;0,00;0,00;;;1,46;30,17;;624.075.055,09;69,00;Passiva;
ABCP11;66,90;6,73;0,75;87.615,75;1,34;-4,29;-6,72;1.081.496.937,21;19.428,00;Passiva;
ARRI11;96,00;13,83;1,01;316.848,90;4,89;;;99.661.556,87;4.375,00;Ativa;
PRSN11B;0,55;4,98;1,45;2.481,45;15,81;;;19.770.318,48;1.324,00;Ativa;
LATR11B;96,00;22,91;8,16;960,00;112,47;;;1.460.304,70;163,00;Ativa;
NEWU11;34,71;0,00;0,56;1.188,15;1,00;58,77;;46.226.808,11;1.763,00;Ativa;
RZAK11;87,03;6,43;0,91;812.972,70;1,14;;;288.300.954,67;6.801,00;Ativa;
FAMB11B;1.025,00;0,00;0,30;44.529,50;7,34;-9,82;-18,16;362.428.766,52;3.301,00;Passiva;
VCRR11;80,10;4,18;0,82;56.346,00;1,65;;;196.074.387,69;1.878,00;Ativa;
HSLG11;85,71;7,13;0,76;939.889,50;4,69;;;1.427.633.963,61;16.712,00;Ativa;
